,Title,Authors,Year,Citations,URL
0,the nuclear fission process,C Wagemans,1991,723,https://books.google.com/books?hl=en&lr=&id=ERD3yypjgD4C&oi=fnd&pg=PA2&dq=Nuclear+fission&ots=B6A8v9_YRL&sig=pmfN2aSjEEq3lrAmQ6Kz5DVQW_c
1,theory of nuclear fission,"N Schunck, D Regnier",2022,92,https://www.sciencedirect.com/science/article/pii/S0146641022000242
2,nuclear fission,R Vandenbosch,2012,1358,https://books.google.com/books?hl=en&lr=&id=RCeaisb73M0C&oi=fnd&pg=PP1&dq=Nuclear+fission&ots=6Bafp83rpc&sig=LyEoZMkwJf0z4NIShsi_mS4PBzk
3,the mechanism of nuclear fission,"N Bohr, JA Wheeler",1939,3274,https://journals.aps.org/pr/abstract/10.1103/PhysRev.56.426
4,microscopic theory of nuclear fission: a review,"N Schunck, LM Robledo",2016,299,https://iopscience.iop.org/article/10.1088/0034-4885/79/11/116301/meta
5,dynamics of nuclear fission,"D Hilscher, H Rossner",1992,580,https://www.annphys.org/articles/anphys/abs/1992/06/anphys_1992__17_6_471_0/anphys_1992__17_6_471_0.html
6,nuclear fission,HJ Specht,1974,88,https://journals.aps.org/rmp/abstract/10.1103/RevModPhys.46.773
7,theory of nuclear fission: a textbook,"HJ Krappe, K Pomorski",2012,232,https://books.google.com/books?hl=en&lr=&id=57SNBAAAQBAJ&oi=fnd&pg=PR3&dq=Nuclear+fission&ots=QTv7FMNcfC&sig=pcEnikzVuCQ3wbDIP7jPxWngYIc
8,review on the progress in nuclear fission—experimental methods and theoretical descriptions,"KH Schmidt, B Jurado",2018,209,https://iopscience.iop.org/article/10.1088/1361-6633/aacfa7/meta
9,future of nuclear fission theory,"M Bender, R Bernard, G Bertsch, S Chiba",2020,178,https://iopscience.iop.org/article/10.1088/1361-6471/abab4f/meta
10,nuclear fission,LA Turner,1940,100,https://journals.aps.org/rmp/abstract/10.1103/RevModPhys.12.1
11,"nuclear fission dynamics: past, present, needs, and future","A Bulgac, S Jin, I Stetcu",2020,66,https://www.frontiersin.org/articles/10.3389/fphy.2020.00063/full
12,statistical theory of nuclear fission: asymmetric fission,P Fong,1956,357,https://journals.aps.org/pr/abstract/10.1103/PhysRev.102.434
13,energy from nuclear fission,"E De Sanctis, S Monti, M Ripani",2016,42,https://link.springer.com/content/pdf/10.1007/978-3-319-30651-3.pdf
14,studies in the liquid-drop theory of nuclear fission,"JR Nix, WJ Swiatecki",1965,525,https://www.sciencedirect.com/science/article/pii/0029558265900386
15,nuclear fission,I Halpern,1959,172,https://www.osti.gov/biblio/4195113
16,nuclear fission,"M Gill, F Livens, A Peakman",2014,21,https://www.sciencedirect.com/science/article/pii/B9780080994246000090
17,further studies in the liquid-drop theory on nuclear fission,JR Nix,1969,559,https://www.sciencedirect.com/science/article/pii/0375947469907301
18,assessment of the actual sustainability of nuclear fission power,"A Verbruggen, E Laes, S Lemmens",2014,84,https://www.sciencedirect.com/science/article/pii/S1364032114000185
19,an introduction to nuclear fission,"W Younes, WD Loveland",2021,16,https://link.springer.com/content/pdf/10.1007/978-3-030-84592-6.pdf
20,theory of charge dispersion in nuclear fission,"RK Gupta, W Scheid, W Greiner",1975,283,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.35.353
21,nuclear fission: a review of experimental advances and phenomenology,"AN Andreyev, K Nishio",2017,255,https://iopscience.iop.org/article/10.1088/1361-6633/aa82eb/meta
22,asymmetry in nuclear fission,"MG Mustafa, U Mosel, HW Schmitt",1973,158,https://journals.aps.org/prc/abstract/10.1103/PhysRevC.7.1518
23,statistical theory of nuclear fission,P Fong,1986,148,https://inis.iaea.org/search/search.aspx?orig_q=RN:21034480
24,angular momentum generation in nuclear fission,"JN Wilson, D Thisse, M Lebois, N Jovančević",2021,121,https://www.nature.com/articles/s41586-021-03304-w
25,nuclear constitution and the interpretation of fission phenomena,"DL Hill, JA Wheeler",1953,3093,https://journals.aps.org/pr/abstract/10.1103/PhysRev.89.1102
26,relativistic radioactive beams: a new access to nuclear-fission studies,"KH Schmidt, S Steinhäuser, C Böckstiegel, A Grewe",2000,513,https://www.sciencedirect.com/science/article/pii/S037594749900384X
27,nuclear fission reactors,IR Cameron,2012,59,https://books.google.com/books?hl=en&lr=&id=2lzlBwAAQBAJ&oi=fnd&pg=PA1&dq=Nuclear+fission&ots=G6D53V16-M&sig=L3kZD5f8OFvyaQsuDNnurc68FhU
28,induced nuclear fission viewed as a diffusion process: transients,"P Grangé, L Jun-Qing, HA Weidenmüller",1983,415,https://journals.aps.org/prc/abstract/10.1103/PhysRevC.27.2063
29,promises and limitations of nuclear fission energy in combating climate change,"V Knapp, D Pevec",2018,79,https://www.sciencedirect.com/science/article/pii/S0301421518303318
